db_type,db,DATABASE TYPE,HIVE/IMPALA DATA TYPES,width,scale,Flag
ORACLE,bfile,HIVE-IMPALA,bfile --Not Found,,,N
SYBASE,bigdatetime,HIVE-IMPALA,timestamp,,,N
SYBASE,bigint,HIVE-IMPALA,bigint,,,N
SYBASE,bigtime,HIVE-IMPALA,timestamp,,,N
SYBASE,binary,HIVE-IMPALA,binary,,,N
ORACLE,binary_integer,HIVE-IMPALA,int,,,N
SYBASE,bit,HIVE-IMPALA,int,,,N
ORACLE,blob,HIVE-IMPALA,blob,,,N
ORACLE,boolean,HIVE-IMPALA,boolean,,,N
SYBASE,char,HIVE-IMPALA,varchar,65535,,Y
ORACLE,character,HIVE-IMPALA,varchar,65535,,Y
ORACLE,clob,HIVE-IMPALA,clob,,,N
SYBASE,date,IMPALA,timestamp,,,N
SYBASE,date,HIVE,date,,,N
SYBASE,datetime,HIVE-IMPALA,timestamp,,,N
ORACLE,dec,HIVE-IMPALA,decimal,38,18,Y
SYBASE,decimal,HIVE-IMPALA,decimal,38,18,Y
MYSQL,double,HIVE-IMPALA,decimal,38,18,Y
ORACLE,double precision,HIVE-IMPALA,double precision --Not Found,,,N
SYBASE,float,HIVE-IMPALA,float,,,N
SYBASE,image,HIVE-IMPALA,image --Not Found,,,N
SYBASE,int,HIVE-IMPALA,int,,,N
SYBASE,integer,HIVE-IMPALA,int,,,N
ORACLE,interval day to second,HIVE-IMPALA,interval day to second --Not Found,,,N
ORACLE,interval year to month,HIVE-IMPALA,interval year to month --Not Found,,,N
ORACLE,long,HIVE-IMPALA,bigint,,,N
ORACLE,long raw,HIVE-IMPALA,long raw --Not Found,,,N
MYSQL,longblob,HIVE-IMPALA,blob,,,N
MYSQL,mediumtext,HIVE-IMPALA,string,,,N
SYBASE,money,HIVE-IMPALA,money -- Not Found,,,N
ORACLE,natural,HIVE-IMPALA,natural --Not Found,,,N
ORACLE,naturaln,HIVE-IMPALA,naturaln --Not Found,,,N
ORACLE,nchar,HIVE-IMPALA,varchar,65535,,Y
ORACLE,nclob,HIVE-IMPALA,nclob --Not Found,,,N
ORACLE,number,HIVE-IMPALA,decimal,38,18,Y
ORACLE,number_int,HIVE-IMPALA,int,,,N
ORACLE,numeric,HIVE-IMPALA,int,,,N
SYBASE,numeric_dec,HIVE-IMPALA,decimal,38,18,Y
ORACLE,nvarchar2,HIVE-IMPALA,varchar,65535,,Y
ORACLE,pls_integer,HIVE-IMPALA,int,,,N
ORACLE,positive,HIVE-IMPALA,positive --Not Found,,,N
ORACLE,positiven,HIVE-IMPALA,positiven --Not Found,,,N
ORACLE,raw,HIVE-IMPALA,raw --Not Found,,,N
SYBASE,rawobject,HIVE-IMPALA,rawobject --Not Found,,,N
SYBASE,real,HIVE,float,,,N
SYBASE,real,IMPALA,real,,,N
ORACLE,record,HIVE-IMPALA,record --Not Found,,,N
ORACLE,ref cursor,HIVE-IMPALA,ref cursor --Not Found,,,N
ORACLE,ref object_type,HIVE-IMPALA,ref object_type --Not Found,,,N
ORACLE,rowid,HIVE-IMPALA,rowid --Not Found,,,N
ORACLE,signtype,HIVE-IMPALA,signtype --Not Found,,,N
SYBASE,smalldatetime ,HIVE-IMPALA,timestamp,,,N
MYSQL,smallint,HIVE-IMPALA,smallint,,,N
SYBASE,smallmoney,HIVE-IMPALA,smallmoney -- Not Found,,,N
ORACLE,string,HIVE-IMPALA,string,,,N
ORACLE,table,HIVE-IMPALA,table --Not Found,,,N
ERWIN,text,HIVE-IMPALA,string,,,N
SYBASE,time,HIVE-IMPALA,timestamp,,,N
SYBASE,timestamp,HIVE-IMPALA,timestamp,,,N
ORACLE,timestamp with local timezone,HIVE-IMPALA,timestamp with local timezone --Not Found,,,N
ORACLE,timestamp with timezone,HIVE-IMPALA,timestamp with timezone --Not Found,,,N
SYBASE,tinyint,HIVE-IMPALA,tinyint,,,N
SYBASE,unichar,HIVE-IMPALA,varchar,65535,0,Y
SYBASE,unitext,HIVE-IMPALA,varchar,65535,0,Y
SYBASE,univarchar,HIVE-IMPALA,varchar,65535,0,Y
SYBASE,unsigned bigint,HIVE-IMPALA,bigint,,,N
SYBASE,unsigned int,HIVE-IMPALA,int,,,N
SYBASE,unsigned smallint,HIVE-IMPALA,smallint,,,N
SYBASE,unsigned tinyint ,HIVE-IMPALA,tinyint,,,N
ORACLE,urowid,HIVE-IMPALA,urowid --Not Found,,,N
SYBASE,varbinary,HIVE-IMPALA,binary,,,N
MYSQL,varchar,HIVE-IMPALA,varchar,65535,,Y
ORACLE,varchar2,HIVE-IMPALA,varchar,65535,,Y
ORACLE,varray,HIVE-IMPALA,varray --Not Found,,,N
